site;fire_class;drt_treatment;site_type;land_type;plotID;gps_loc;species;plantID;loggerID;date_in;date_out;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;1,2;;Vaccinium vitis idea;1;95221013;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_vv_5;;Vaccinium_vitis-idaea;0;95221015;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;1,2;;Empetrum nigrum;5;95221016;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;1,2;;Calluna vulgaris;2;95221017;19/04/2023;30/04/2024;broken (didnt want o read from it);;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_vv_3;;Vaccinium_vitis-idaea;0;95221018;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Open;so_o_cv_4;;Calluna_vulgaris;0;95221019;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;1,2;;Control;1;95221020;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;0;Coastal;DroughtNet;1,1;;Vaccinium myrtillus;4;95221021;19/04/2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_en_2;;Empetrum_nigrum;0;95221022;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Open;se_o_vv_5;;Vaccinium_vitis-idaea;0;95221024;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_vm_4;;Vaccinium_myrtillus;0;95221025;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Sogndal;None;0;Continental;Forested;so_f_cv_4;;Calluna_vulgaris;0;95221026;26.06.2023;;;;;;;;;;;;;;;;;;;;;;;
