"","ID","n","leaf_area"
"1361","IYB3724",6,0.35
"1362","IYC7089",6,0.343
"1363","IYF5044",5,0.317
"1364","IYG1733",6,0.347
"1365","IYJ4830",6,0.319
"1366","IYK0827",6,0.378
"1367","IYN3828",6,0.314
"1368","IYO0386",1,0.795
"1369","IYR4023",6,0.329
"1370","IYS1738",6,0.388
"1371","IZU4958",1,1.636
"1372","IZY7375",1,1.296
"1373","JAC4965",1,1.022
"1374","JAG6671",1,0.873
"1375","JAH6480",1,1.306
"1376","JAK4052",1,1.43
"1377","JAL9162",1,1.377
"1378","JAO2150",1,0.968
"1379","JAP7676",1,0.863
"1380","JAU8176",1,1.396
"1381","JAY2008",1,1.42
"1382","JBC3587",1,1.474
"1383","JCP6398",6,0.424
"1384","JCQ4913",6,0.449
"1385","JCS1209",1,1.04
"1386","JCU1189",6,0.425
"1387","JCW2274",6,0.418
"1388","JDA5707",6,0.392
"1389","JDB5021",1,0.997
"1390","JDD5119",6,0.433
"1391","JDE7218",6,0.452
"1392","JDH3006",1,1.23
"1393","JDI0407",6,0.414
"1394","JDJ1092",1,1.122
"1395","JDN8525",6,0.508
"1396","JDR3072",1,0.833
"1397","JDV6602",1,0.719
"1398","JDZ3882",1,0.58
"1399","JED3432",1,0.807
"1400","JEH5625",1,0.738
"1401","JFA3228",1,0.944
"1402","JFE8864",1,0.926
"1403","JFG8842",1,1.239
"1404","JFI8611",1,0.916
"1405","JGF1040",1,1.421
"1406","JGJ2912",1,1.392
"1407","JGK4786",1,1.795
"1408","JGN6413",1,0.885
"1409","JGO0015",1,1.328
"1410","JGR6346",1,1.989
"1411","JGS7209",1,2.026
"1412","JGV9687",1,1.753
"1413","JGZ6834",1,0.729
"1414","JIE0910",6,0.486
"1415","JII1615",6,0.394
"1416","JIM3523",1,1.354
"1417","JIQ3693",1,1.155
"1418","JIT6119",1,1.049
"1419","JIU5958",3,4.365
"1420","JIY3680",6,0.408
"1421","JJC9245",6,0.442
"1422","JJF3871",1,1.703
"1423","JJG7365",1,1.365
"1424","JJJ3435",1,1.839
"1425","JJK0313",1,1.677
"1426","JJN2971",1,0.736
"1427","JJO0795",1,1.605
"1428","JJR5366",1,0.946
"1429","JJS3945",1,1.028
"1430","JJV9917",1,0.849
"1431","JJW6841",1,1.214
"1432","JKT4439",6,0.398
"1433","JMR4590",1,1.693
"1434","JMV3352",1,1.208
"1435","JMW8526",1,1.648
"1436","JMZ5279",1,1.344
"1437","JNO0628",1,1.534
"1438","out.jpe",1,1.244
